Month,Core capital,Total assets,Non-performing loans,Gross Loan Portifolio/Total loans,Non-earning assets,General loan loss reserve,Gross loans,Write-offs,Recoveries
2015-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2015-02-28,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2015-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2015-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2015-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2015-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2015-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2015-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2015-09-30,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2015-10-31,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2015-11-30,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2015-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2016-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2016-02-29,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2016-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2016-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2016-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2016-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2016-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2016-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2016-09-30,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2016-10-31,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2016-11-30,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2016-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2017-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2017-02-28,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2017-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2017-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2017-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2017-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2017-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2017-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2017-09-30,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2017-10-31,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2017-11-30,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2017-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2018-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2018-02-28,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2018-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2018-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2018-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2018-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2018-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2018-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2018-09-30,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2018-10-31,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2018-11-30,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2018-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2019-01-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2019-02-28,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2019-03-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2019-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2019-05-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2019-06-30,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2019-07-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2019-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2019-09-30,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2019-10-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2019-11-30,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2019-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2020-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2020-02-29,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2020-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2020-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2020-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2020-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2020-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2020-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2020-09-30,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2020-10-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2020-11-30,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2020-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2021-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2021-02-28,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2021-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2021-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2021-05-31,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2021-06-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2021-07-31,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2021-08-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2021-09-30,132034626.06,2584122690,38147858,2251849017,318978673,0,0,0,0
2021-10-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2021-11-30,146699112.1338,2684361437.81,38147858,2432565185,238501252.81,0,0,0,0
2021-12-31,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
2022-01-31,-119612675,1647185345,25605561,1471439693,162450652,0,0,0,0
2022-02-28,-157155325,1392856588,25605561,1179087930,200973658,0,0,0,0
2022-03-31,132923348.9958,2588543756,38147858,2348820110,226428646,0,0,0,0
2022-04-30,119016272,2552087975,38147858,2222072340,316720635,0,0,0,0
