Month,Core capital,Total assets,Non-performing loans,Gross Loan Portifolio/Total loans,Non-earning assets,General loan loss reserve,Gross loans,Write-offs,Recoveries
2015-01-31,31781601.39,1935549192.66,28944724.44,242554951.1,242554951.1,86193.34,397851.29,14145.48,152350.28
2015-02-28,124572420.7,2625223709.51,28549871.32,300740528.57,300740528.57,10517.77,122953.8,5209.5,41920.25
2015-03-31,52999545.24,1865476885.05,37153264.04,172725907.48,172725907.48,81324.78,228826.71,4074.23,109746.04
2015-04-30,32808747.44,1627177097.79,31145842.26,273944384.99,273944384.99,10483.58,187810.44,19846.45,84158.59
2015-05-31,-44964331.32,2328069129.11,29550003.98,164131484,164131484,76058.97,347908.06,2971.09,364467.09
2015-06-30,108099315.35,1636094947.36,32607276.38,300708346.92,300708346.92,61586.12,267626.57,22396.79,301892.48
2015-07-31,-83370498.67,1832651369.12,32746028.21,221408385.89,221408385.89,69064.22,251919.75,7938.14,349490.08
2015-08-31,-58007016.1,1716949132.93,28524978.71,250498124.62,250498124.62,2567.5,505200.53,5536.11,210455.6
2015-09-30,37986558.04,2062550744.38,38066021.25,303394106.12,303394106.12,21180.73,171563.91,16235.71,351943.88
2015-10-31,-98327228.74,2367743811.17,32709966.09,193988709.18,193988709.18,44422.17,345188.03,10679.64,178653.63
2015-11-30,-30678949.25,2359541930.66,25799236.91,285167013.6,285167013.6,29904.78,211016.88,3456.57,105314.69
2015-12-31,-106516739.73,1571493785.61,36375431.25,301450221.52,301450221.52,25208.24,1702.82,7443.37,140654.58
2016-01-31,-106463638.39,1602185769.08,36548335.74,282226118.01,282226118.01,7434.04,448795.4,14468.63,128991.21
2016-02-29,137675153.15,2014014250.08,28857888.93,218237718.06,218237718.06,85980.28,170680.35,7642.22,294870.93
2016-03-31,-1597118.46,2642322130.08,25747034.09,210063528.15,210063528.15,23104.06,503086.73,20299.14,192027.31
2016-04-30,108385718.19,1724400345.7,28337019,210520801.64,210520801.64,43829,515987.04,1317.75,179846.53
2016-05-31,-44070908.81,1512157267.84,37529009.27,273867094.05,273867094.05,62913.83,347128.4,5624.03,69153.54
2016-06-30,-94065639.18,1663018356.46,33406761.88,278857303.65,278857303.65,68569.35,41347.86,14702.59,35226.73
2016-07-31,69372458.25,2455529394.32,26479242.19,221107123.74,221107123.74,51725.71,420336.93,11109.16,38790.66
2016-08-31,-45938988.99,1523852799.46,30582669.02,215705369.71,215705369.71,43641.93,390571.7,3710.72,53200.45
